age,education-num,capital-gain,capital-loss,hours-per-week,workclass_encoded,education_encoded,marital-status_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,native-country_encoded,income_encoded
39.0,13,2174.0,1872.8255915863278,40,7,9,4,1,1,4,1,39,0
50.0,13,13061.665675340768,1872.8255915863278,13,6,9,2,4,0,4,1,39,0
38.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,6,1,4,1,39,0
53.0,7,13061.665675340768,1872.8255915863278,40,4,1,2,6,0,2,1,39,0
28.0,13,13061.665675340768,1872.8255915863278,40,4,9,2,10,5,2,0,5,0
37.0,14,13061.665675340768,1872.8255915863278,40,4,12,2,4,5,4,0,39,0
49.0,5,13061.665675340768,1872.8255915863278,16,4,6,3,8,1,2,0,23,0
52.0,9,13061.665675340768,1872.8255915863278,45,6,11,2,4,0,4,1,39,1
31.0,14,14084.0,1872.8255915863278,50,4,12,4,10,1,4,0,39,1
42.0,13,5178.0,1872.8255915863278,40,4,9,2,4,0,4,1,39,1
37.0,10,13061.665675340768,1872.8255915863278,80,4,15,2,4,0,2,1,39,1
30.0,13,13061.665675340768,1872.8255915863278,40,7,9,2,10,0,1,1,19,1
23.0,13,13061.665675340768,1872.8255915863278,30,4,9,4,1,3,4,0,39,0
32.0,12,13061.665675340768,1872.8255915863278,50,4,7,4,12,1,2,1,39,0
40.0,11,13061.665675340768,1872.8255915863278,40,4,8,2,3,0,1,1,0,1
34.0,4,13061.665675340768,1872.8255915863278,45,4,5,2,14,0,0,1,26,0
25.0,9,13061.665675340768,1872.8255915863278,35,6,11,4,5,3,4,1,39,0
32.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,7,4,4,1,39,0
38.0,7,13061.665675340768,1872.8255915863278,50,4,1,2,12,0,4,1,39,0
43.0,14,13061.665675340768,1872.8255915863278,45,6,12,0,4,4,4,0,39,1
40.0,16,13061.665675340768,1872.8255915863278,60,4,10,2,10,0,4,1,39,1
54.0,9,13061.665675340768,1872.8255915863278,20,4,11,5,8,4,2,0,39,0
